gameWeek,minutes_played_last5,clean_sheets_last5,bps_last5,player_starts_last5,expected_goals_last5,expected_assists_last5,expected_goal_involvements_last5,expected_goals_conceded_last5,total_points_last5,difficulty,is_home_team,player_type_1,player_type_2,player_type_3,player_type_4
7,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,0,1,0,0,0
7,4.51085950651685,0.0,2.5952547069568657,0.6931471805599453,0.10255658832509215,0.009950330853168092,0.11154137473290732,1.2963696535919036,0.6931471805599453,3,0,0,1,0,0
2,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,1,0,0,0
10,3.0819099697950434,0.0,2.1041341542702074,0.1823215567939546,0.0,0.0,0.0,0.3206331725914669,0.9555114450274363,2,0,0,1,0,0
6,4.421247347827163,0.1823215567939546,2.5649493574615367,0.6931471805599453,0.05638033343610769,0.039220713153281114,0.09349034308733897,0.688134638736401,1.4350845252893227,2,1,0,0,1,0
9,4.406719247264253,0.0,2.6390573296152584,0.7884573603642703,0.03729578474369693,0.05638033343610769,0.09166718852582387,1.0094167098636389,1.1631508098056809,3,0,0,1,0,0
3,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,5,1,0,0,0,1
10,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,0,0,1,0,0
2,2.3978952727983707,0.0,1.791759469228055,0.0,0.0,0.0,0.0,0.1906203596086497,1.0986122886681098,2,0,0,0,1,0
7,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,0,1,0,0,0
3,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,0,1,0,0,0
3,2.3513752571634776,0.0,1.9459101490553132,0.0,0.0,0.004987541511038968,0.004987541511038968,0.058268908123975824,1.0986122886681098,5,1,0,0,1,0
5,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,0,1,0,0
11,4.136765278106052,0.1823215567939546,2.379546134130174,0.5877866649021191,0.017839918128331016,0.050693114315518165,0.06765864847381486,0.6302073807860711,1.2809338454620642,3,1,0,1,0,0
4,4.386184644822546,0.0,2.120263536200091,0.6931471805599453,0.10436001532424286,0.009950330853168092,0.11332868530700327,0.6830968447064438,1.3862943611198906,3,0,0,0,1,0
9,2.5952547069568657,0.0,2.2617630984737906,0.0,0.2515366258154277,0.02176149178151271,0.268499253035007,0.4014570867106254,1.3862943611198906,2,1,0,0,1,0
